Name,Director,Country,Year,Location,Format,Viewed Ever/This Version,Recommend?,Unwatched shortlist,"
"
Three Colours Red,Krzysztof Kieslowski,,1994,Dublin,ISO,Y/Y,,,
Dancer In The Dark,Lars Von Trier,,2000,Dublin,DVD,Y/Y,N,,
Dogville,Lars Von Trier,,2003,Dublin,DVD,Y/Y,,,
Manderlay,Lars Von Trier,,2005,Dublin,DVD,Y/Y,,,
The Fifth Element,Luc Besson,,1997,Dublin,HD,Y/N,,,
Raging Bull,Martin Scorcese,,1980,Dublin,HD,Y/N,,,
The Aviator,Martin Scorcese,,2004,Dublin,DVD,Y/Y,,,
The Deer Hunter,Michael Cimino,,1978,Dublin,HD,Y/N,,,
One Flew Over The Cuckoos Nest,Milos Forman,,1975,Dublin,DVD,Y/Y,,,
Supersize Me,Morgan Spurlock,,2004,Dublin,SD,Y/Y,,,
The Company Of Wolves,Neil Jordan,,1984,Dublin,DVD,Y/N,,,
Accatone,Pier Paolo Pasolini,,1961,Dublin,DVD,Y/N,,,
Reservoir Dogs,Quentin Tarantino,,1992,Dublin,DVD,Y/Y,,,
Martha,Rainer Werner Fassbinder,,1974,Dublin,DVD,Y/Y,N,,
The Third Generation,Rainer Werner Fassbinder,,1979,Dublin,DVD,Y/Y,,,
Blade Runner,Ridley Scott,,1982,Dublin,HD,Y/Y,,,
Bring Me The Head Of Alfredo Garcia,Sam Peckinpah,,1974,,ISO,Y/Y,Y,,
The Pledge,Sean Penn,,2001,Dublin,DVD,Y/Y,,,
Cowboy Bebop The Movie,Shinichiro Watanabe,,2001,Dublin,,Y/Y,,,
Vital,Shinya Tsukamoto,,2004,Dublin,DVD,Y/Y,,,
Twelve Angry Men,Sidney Lumet,,1957,Dublin,DVD,Y/Y,,,
Being John Malkovich,Spike Jonze,,1999,Dublin,DVD,Y/Y,,,
Adaptation,Spike Jonze,,2002,Dublin,DVD,Y/Y,,,
25th Hour,Spike Lee,,2002,Dublin,DVD,Y/Y,,,
The Shining,Stanley Kubrick,,1980,Dublin,HD,Y/N,,,
Oceans Eleven,Steven Soderbergh,,2001,Dublin,DVD,Y/Y,,,
Everyone Stares,Stewart Copeland,,2006,,SD,Y/N,Y,,
Gozu    ,Takashi Miike,,2003,Dublin,SD,Y/Y,,,
,,,,,,,,,
Blood Simple,The Coen Brothers,,1984,Dublin,DVD,Y/Y,N,,
Miller's Crossing,The Coen Brothers,,1990,Dublin,DVD,Y/Y,,,
Palindromes,Todd Solondz,,2004,Dublin,DVD,Y/Y,,,
,,,,,,,,,
Beasts Of The Southern Wild,,USA,2012,Dublin,HD,Y/Y,,,
Days Of Heaven ,Terence Malick,USA,,Dublin ,HD,Y/Y,Y,,
Hors Satan,Bruno Dumont,France,2011,Dublin ,SD,Y/N,Y,,
Looper,,USA,2012,Dublin ,HD,Y/Y,,,
The Avengers,Joss Whedon,USA,2012,Dublin,HD,Y/Y,,,
Eternity And A Day,Theo Angelopolous,Greece,1998,Dublin,SD,Y/Y,parts,,
Greenberg,Noah Baumbach,USA,,Dublin,SD,Y/Y,,,
Harold And Maude,Hal Ashby,USA,1971,Dublin,HD,Y/Y,the look to camera,,
Iron Man 2,Jon Favreau,USA,2010,Dublin,HD,Y/Y,N,,
Star Trek,JJ Abrams,USA,2009,Dublin,HD,Y/Y,,,
Test,jkl,jkls,jkl,jkk,,,,,
